output,id
PLPL,NaN
PLZQ,"52664146431342024, 52669741249636448"
PLZS,"52659652798295000, 52660795243930800, 52661031536417024, 52661708459643792, 52662448292729120, 52663277980048648, 52667982958449944, 52671836078682160, 52671893381612680, 52671936414734632, 52675525429543088, 55986125760035680"
PREDG,NaN
SIQU,NaN
SRTU,NaN
STAR,"49341472432436776, 52658838814413456, 52661951619880944, 52662697236986880, 52664580578898344, 52666027155653592, 52666152208637280, 52669329074963656, 52669418171890336, 52672635479485536, 52673344507083192, 52674624097392744, 52675738864229304, 52675821884627032, 52676412906692448, 55980602087798944"
STFR,"49341276561807768, 52657687376065936, 52659362335892848, 52659699395899168, 52661317776213760, 52661415515240792, 52667317925560288, 52667952172911104, 52670831854953984, 52671709401753016, 52676271366420264, 55982988477646840, 55991949848818272"
STKD,NaN
STKG,NaN
STTK,NaN
STYO,NaN
SUWS,NaN
SWAP,"52662101266450920, 52666512868148672, 52669619578582712, 55991587761654472"
VAST,"49340941168998376, 52665231544238888, 52668989555626792"
VWL,"49340959128277656, 52663990559213512, 52676378520032944"
